Province/State,Country/Region,Confirmed,Deaths,Date,Latitude,Longitude
Hubei,Mainland China,33366,1068,2020-02-12,,
Guangdong,Mainland China,1219,1,2020-02-12,,
Henan,Mainland China,1135,8,2020-02-12,,
Zhejiang,Mainland China,1131,0,2020-02-12,,
Hunan,Mainland China,946,2,2020-02-12,,
Anhui,Mainland China,889,4,2020-02-12,,
Jiangxi,Mainland China,844,1,2020-02-12,,
Jiangsu,Mainland China,543,0,2020-02-12,,
Chongqing,Mainland China,518,3,2020-02-12,,
Shandong,Mainland China,497,2,2020-02-12,,
Sichuan,Mainland China,436,1,2020-02-12,,
Heilongjiang,Mainland China,378,8,2020-02-12,,
Beijing,Mainland China,352,3,2020-02-12,,
Shanghai,Mainland China,311,1,2020-02-12,,
Fujian,Mainland China,272,0,2020-02-12,,
Hebei,Mainland China,251,2,2020-02-12,,
Shaanxi,Mainland China,225,0,2020-02-12,,
Guangxi,Mainland China,222,1,2020-02-12,,
Diamond Princess cruise ship,Others,175,0,2020-02-12,,
Hainan,Mainland China,157,4,2020-02-12,,
Yunnan,Mainland China,154,0,2020-02-12,,
Guizhou,Mainland China,133,1,2020-02-12,,
Shanxi,Mainland China,126,0,2020-02-12,,
Liaoning,Mainland China,116,1,2020-02-12,,
Tianjin,Mainland China,112,2,2020-02-12,,
Gansu,Mainland China,87,2,2020-02-12,,
Jilin,Mainland China,83,1,2020-02-12,,
Inner Mongolia,Mainland China,60,0,2020-02-12,,
Xinjiang,Mainland China,59,0,2020-02-12,,
Ningxia,Mainland China,58,0,2020-02-12,,
Hong Kong,Hong Kong,50,1,2020-02-12,,
,Singapore,50,0,2020-02-12,,
,Thailand,33,0,2020-02-12,,
,Japan,28,0,2020-02-12,,
,South Korea,28,0,2020-02-12,,
Qinghai,Mainland China,18,0,2020-02-12,,
,Malaysia,18,0,2020-02-12,,
Taiwan,Taiwan,18,0,2020-02-12,,
,Germany,16,0,2020-02-12,,
,Vietnam,15,0,2020-02-12,,
,France,11,0,2020-02-12,,
Macau,Macau,10,0,2020-02-12,,
,UK,9,0,2020-02-12,,
,United Arab Emirates,8,0,2020-02-12,,
Queensland,Australia,5,0,2020-02-12,,
New South Wales,Australia,4,0,2020-02-12,,
Victoria,Australia,4,0,2020-02-12,,
British Columbia,Canada,4,0,2020-02-12,,
,India,3,0,2020-02-12,,
,Italy,3,0,2020-02-12,,
,Philippines,3,1,2020-02-12,,
South Australia,Australia,2,0,2020-02-12,,
"Toronto, ON",Canada,2,0,2020-02-12,,
,Russia,2,0,2020-02-12,,
,Spain,2,0,2020-02-12,,
"Chicago, IL",US,2,0,2020-02-12,,
"San Benito, CA",US,2,0,2020-02-12,,
"Santa Clara, CA",US,2,0,2020-02-12,,
,Belgium,1,0,2020-02-12,,
,Cambodia,1,0,2020-02-12,,
"London, ON",Canada,1,0,2020-02-12,,
,Finland,1,0,2020-02-12,,
Tibet,Mainland China,1,0,2020-02-12,,
,Nepal,1,0,2020-02-12,,
,Sri Lanka,1,0,2020-02-12,,
,Sweden,1,0,2020-02-12,,
"Boston, MA",US,1,0,2020-02-12,,
"Los Angeles, CA",US,1,0,2020-02-12,,
"Madison, WI",US,1,0,2020-02-12,,
"Orange, CA",US,1,0,2020-02-12,,
"San Diego County, CA",US,1,0,2020-02-12,,
"Seattle, WA",US,1,0,2020-02-12,,
"Tempe, AZ",US,1,0,2020-02-12,,
