Province/State,Country/Region,Confirmed,Deaths,Date,Latitude,Longitude
Hubei,Mainland China,65187,2615,2020-02-26,,
Guangdong,Mainland China,1347,7,2020-02-26,,
Henan,Mainland China,1271,19,2020-02-26,,
,South Korea,1261,12,2020-02-26,,
Zhejiang,Mainland China,1205,1,2020-02-26,,
Hunan,Mainland China,1016,4,2020-02-26,,
Anhui,Mainland China,989,6,2020-02-26,,
Jiangxi,Mainland China,934,1,2020-02-26,,
Shandong,Mainland China,756,6,2020-02-26,,
Diamond Princess cruise ship,Others,705,4,2020-02-26,,
Jiangsu,Mainland China,631,0,2020-02-26,,
Chongqing,Mainland China,576,6,2020-02-26,,
Sichuan,Mainland China,531,3,2020-02-26,,
Heilongjiang,Mainland China,480,12,2020-02-26,,
,Italy,453,12,2020-02-26,,
Beijing,Mainland China,400,4,2020-02-26,,
Shanghai,Mainland China,337,3,2020-02-26,,
Hebei,Mainland China,312,6,2020-02-26,,
Fujian,Mainland China,294,1,2020-02-26,,
Guangxi,Mainland China,252,2,2020-02-26,,
Shaanxi,Mainland China,245,1,2020-02-26,,
,Japan,189,2,2020-02-26,,
Yunnan,Mainland China,174,2,2020-02-26,,
Hainan,Mainland China,168,5,2020-02-26,,
Guizhou,Mainland China,146,2,2020-02-26,,
,Iran,139,19,2020-02-26,,
Tianjin,Mainland China,135,3,2020-02-26,,
Shanxi,Mainland China,133,0,2020-02-26,,
Liaoning,Mainland China,121,1,2020-02-26,,
Jilin,Mainland China,93,1,2020-02-26,,
,Singapore,93,0,2020-02-26,,
Hong Kong,Hong Kong,91,2,2020-02-26,,
Gansu,Mainland China,91,2,2020-02-26,,
Xinjiang,Mainland China,76,2,2020-02-26,,
Inner Mongolia,Mainland China,75,0,2020-02-26,,
Ningxia,Mainland China,71,0,2020-02-26,,
Unassigned Location (From Diamond Princess),US,42,0,2020-02-26,,
,Thailand,40,0,2020-02-26,,
,Bahrain,33,0,2020-02-26,,
Taiwan,Taiwan,32,1,2020-02-26,,
,Germany,27,0,2020-02-26,,
,Kuwait,26,0,2020-02-26,,
,Malaysia,22,0,2020-02-26,,
,France,18,2,2020-02-26,,
Qinghai,Mainland China,18,0,2020-02-26,,
,Vietnam,16,0,2020-02-26,,
,Spain,13,0,2020-02-26,,
,UK,13,0,2020-02-26,,
,United Arab Emirates,13,0,2020-02-26,,
Macau,Macau,10,0,2020-02-26,,
From Diamond Princess,Australia,7,0,2020-02-26,,
British Columbia,Canada,7,0,2020-02-26,,
Queensland,Australia,5,0,2020-02-26,,
,Iraq,5,0,2020-02-26,,
New South Wales,Australia,4,0,2020-02-26,,
Victoria,Australia,4,0,2020-02-26,,
,Oman,4,0,2020-02-26,,
"Toronto, ON",Canada,3,0,2020-02-26,,
,Croatia,3,0,2020-02-26,,
,India,3,0,2020-02-26,,
,Philippines,3,1,2020-02-26,,
South Australia,Australia,2,0,2020-02-26,,
,Austria,2,0,2020-02-26,,
,Finland,2,0,2020-02-26,,
,Israel,2,0,2020-02-26,,
,Lebanon,2,0,2020-02-26,,
,Pakistan,2,0,2020-02-26,,
,Russia,2,0,2020-02-26,,
,Sweden,2,0,2020-02-26,,
"Chicago, IL",US,2,0,2020-02-26,,
"San Benito, CA",US,2,0,2020-02-26,,
"San Diego County, CA",US,2,0,2020-02-26,,
"Santa Clara, CA",US,2,0,2020-02-26,,
,Afghanistan,1,0,2020-02-26,,
,Algeria,1,0,2020-02-26,,
,Belgium,1,0,2020-02-26,,
,Brazil,1,0,2020-02-26,,
,Cambodia,1,0,2020-02-26,,
"London, ON",Canada,1,0,2020-02-26,,
,Egypt,1,0,2020-02-26,,
,Georgia,1,0,2020-02-26,,
,Greece,1,0,2020-02-26,,
Tibet,Mainland China,1,0,2020-02-26,,
,Nepal,1,0,2020-02-26,,
,North Macedonia,1,0,2020-02-26,,
,Norway,1,0,2020-02-26,,
,Romania,1,0,2020-02-26,,
,Sri Lanka,1,0,2020-02-26,,
,Switzerland,1,0,2020-02-26,,
"Boston, MA",US,1,0,2020-02-26,,
"Humboldt County, CA",US,1,0,2020-02-26,,
"Los Angeles, CA",US,1,0,2020-02-26,,
"Madison, WI",US,1,0,2020-02-26,,
"Orange, CA",US,1,0,2020-02-26,,
"Sacramento County, CA",US,1,0,2020-02-26,,
"San Antonio, TX",US,1,0,2020-02-26,,
"Seattle, WA",US,1,0,2020-02-26,,
"Tempe, AZ",US,1,0,2020-02-26,,
"Lackland, TX (From Diamond Princess)",US,0,0,2020-02-26,,
"Omaha, NE (From Diamond Princess)",US,0,0,2020-02-26,,
"Travis, CA (From Diamond Princess)",US,0,0,2020-02-26,,
