Date,Country,Cases,Deaths
4/1/2003,Singapore,92,3
4/1/2003,Switzerland,3,0
4/1/2003,Thailand,6,1
4/1/2003,United Kingdom,3,0
4/1/2003,United States,69,0
4/1/2003,Viet Nam,58,4
4/1/2003,Total,1804,62
4/2/2003,Australia,1,0
4/2/2003,Belgium,1,0
4/2/2003,Canada,58,6
4/2/2003,China,1190,46
4/2/2003,Hong Kong,708,16
4/2/2003,Taiwan,13,0
4/2/2003,France,1,0
4/2/2003,Germany,5,0
4/2/2003,Italy,3,0
4/2/2003,Republic of Ireland,2,0
4/2/2003,Romania,3,0
4/2/2003,Singapore,95,4
4/2/2003,Spain,1,0
4/2/2003,Switzerland,2,0
4/2/2003,Thailand,7,2
4/2/2003,United Kingdom,3,0
4/2/2003,United States,72,0
4/2/2003,Viet Nam,58,4
4/2/2003,Total,2223,78
4/3/2003,Australia,1,0
4/3/2003,Belgium,1,0
4/3/2003,Brazil,1,0
4/3/2003,Canada,62,6
4/3/2003,China,1190,46
4/3/2003,Hong Kong,734,17
4/3/2003,Taiwan,14,0
4/3/2003,France,3,0
4/3/2003,Germany,5,0
4/3/2003,Italy,3,0
4/3/2003,Republic of Ireland,1,0
4/3/2003,Romania,1,0
4/3/2003,Singapore,98,4
4/3/2003,Switzerland,2,0
4/3/2003,Thailand,7,2
4/3/2003,United Kingdom,3,0
4/3/2003,United States,85,0
4/3/2003,Viet Nam,59,4
4/3/2003,Total,2270,79
4/4/2003,Australia,1,0
4/4/2003,Belgium,1,0
4/4/2003,Brazil,1,0
4/4/2003,Canada,69,7
4/4/2003,China,1220,49
4/4/2003,Hong Kong,761,17
4/4/2003,Taiwan,15,0
4/4/2003,France,3,0
4/4/2003,Germany,5,0
4/4/2003,Italy,3,0
4/4/2003,Republic of Ireland,1,0
4/4/2003,Romania,1,0
4/4/2003,Singapore,100,5
4/4/2003,Spain,1,0
4/4/2003,Switzerland,2,0
4/4/2003,Thailand,7,2
4/4/2003,United Kingdom,3,0
4/4/2003,United States,100,0
4/4/2003,Viet Nam,59,4
4/4/2003,Total,2353,84
4/5/2003,Australia,1,0
4/5/2003,Belgium,1,0
4/5/2003,Brazil,1,0
4/5/2003,Canada,74,7
4/5/2003,China,1220,49
4/5/2003,Hong Kong,800,20
4/5/2003,Taiwan,17,0
4/5/2003,France,3,0
4/5/2003,Germany,5,0
4/5/2003,Italy,3,0
4/5/2003,Malaysia,1,1
4/5/2003,Republic of Ireland,1,0
4/5/2003,Romania,1,0
4/5/2003,Singapore,101,6
4/5/2003,Spain,1,0
4/5/2003,Switzerland,1,0
4/5/2003,Thailand,7,2
4/5/2003,United Kingdom,4,0
4/5/2003,United States,115,0
4/5/2003,Viet Nam,59,4
4/5/2003,Total,2416,89
4/6/2003,Brazil,2,0
4/6/2003,Canada,103,3
4/6/2003,China,1432,14
4/6/2003,Hong Kong,1268,36
4/6/2003,Taiwan,27,4
4/6/2003,France,5,0
4/6/2003,Germany,6,0
4/6/2003,Indonesia,1,0
4/6/2003,Italy,3,0
4/6/2003,Japan,1,0
4/6/2003,Kuwait,1,0
4/6/2003,Malaysia,5,1
4/6/2003,Philippines,1,0
4/6/2003,Republic of Ireland,1,0
4/6/2003,Romania,1,0
4/6/2003,Singapore,162,0
4/6/2003,South Africa,1,0
4/6/2003,Spain,1,0
4/6/2003,Sweden,1,0
4/6/2003,Switzerland,1,0
4/6/2003,Thailand,8,0
4/6/2003,United Kingdom,6,0
4/6/2003,United States,193,0
4/6/2003,Viet Nam,63,0
4/6/2003,Total,3293,58
4/7/2003,Australia,1,0
4/7/2003,Brazil,1,0
4/7/2003,Canada,90,9
4/7/2003,China,1268,53
4/7/2003,Hong Kong,883,23
4/7/2003,Taiwan,21,0
4/7/2003,France,3,0
4/7/2003,Germany,5,0
4/7/2003,Italy,3,0
4/7/2003,Malaysia,1,1
4/7/2003,Republic of Ireland,1,0
4/7/2003,Romania,1,0
4/7/2003,Singapore,106,6
4/7/2003,Spain,1,0
4/7/2003,Switzerland,1,0
4/7/2003,Thailand,7,2
4/7/2003,United Kingdom,5,0
4/7/2003,United States,141,0
4/7/2003,Viet Nam,62,4
4/7/2003,Total,2601,98
4/8/2003,Australia,1,0
4/8/2003,Brazil,1,0
4/8/2003,Canada,91,10
4/8/2003,China,1279,53
4/8/2003,Hong Kong,928,25
4/8/2003,Taiwan,19,0
4/8/2003,France,4,0
4/8/2003,Germany,5,0
4/8/2003,Italy,3,0
4/8/2003,Malaysia,1,1
4/8/2003,Republic of Ireland,1,0
4/8/2003,Romania,1,0
4/8/2003,Singapore,113,8
4/8/2003,Spain,1,0
4/8/2003,Switzerland,1,0
4/8/2003,Thailand,7,2
4/8/2003,United Kingdom,5,0
4/8/2003,United States,148,0
4/8/2003,Viet Nam,62,4
4/8/2003,Total,2671,103
4/9/2003,Brazil,1,0
4/9/2003,Canada,94,10
4/9/2003,China,1280,53
4/9/2003,Hong Kong,970,27
4/9/2003,Taiwan,19,0
4/9/2003,France,4,0
4/9/2003,Germany,5,0
4/9/2003,Italy,3,0
4/9/2003,Malaysia,1,1
4/9/2003,Republic of Ireland,1,0
4/9/2003,Romania,1,0
4/9/2003,Singapore,118,9
4/9/2003,Spain,1,0
4/9/2003,Switzerland,1,0
4/9/2003,Thailand,7,2
4/9/2003,United Kingdom,5,0
4/9/2003,United States,149,0
4/9/2003,Viet Nam,62,4
4/9/2003,Total,2722,106
4/10/2003,Brazil,2,0
4/10/2003,Canada,97,10
4/10/2003,China,1290,55
4/10/2003,Hong Kong,998,30
4/10/2003,Taiwan,19,0
4/10/2003,France,4,0
4/10/2003,Germany,6,0
4/10/2003,Italy,3,0
4/10/2003,Kuwait,1,0
4/10/2003,Malaysia,3,1
4/10/2003,Republic of Ireland,1,0
4/10/2003,Romania,1,0
4/10/2003,Singapore,126,9
4/10/2003,Spain,1,0
4/10/2003,Switzerland,1,0
4/10/2003,Thailand,7,2
4/10/2003,United Kingdom,5,0
4/10/2003,United States,154,0
4/10/2003,Viet Nam,62,4
4/10/2003,Total,2781,111
4/11/2003,Brazil,2,0
4/11/2003,Canada,98,10
4/11/2003,China,1309,58
4/11/2003,Hong Kong,1059,32
4/11/2003,Taiwan,21,0
4/11/2003,France,5,0
4/11/2003,Germany,6,0
4/11/2003,Italy,3,0
4/11/2003,Japan,4,0
4/11/2003,Kuwait,1,0
4/11/2003,Malaysia,4,1
4/11/2003,Republic of Ireland,1,0
4/11/2003,Romania,1,0
4/11/2003,Singapore,133,9
4/11/2003,South Africa,1,0
4/11/2003,Spain,1,0
4/11/2003,Switzerland,1,0
4/11/2003,Thailand,7,2
4/11/2003,United Kingdom,5,0
4/11/2003,United States,166,0
4/11/2003,Viet Nam,62,4
4/11/2003,Total,2890,116
4/12/2003,Brazil,2,0
4/12/2003,Canada,101,10
4/12/2003,China,1309,58
4/12/2003,Hong Kong,1108,35
4/12/2003,Taiwan,23,0
4/12/2003,France,5,0
4/12/2003,Germany,6,0
4/12/2003,Italy,3,0
4/12/2003,Japan,4,0
4/12/2003,Kuwait,1,0
4/12/2003,Malaysia,4,1
4/12/2003,Republic of Ireland,1,0
4/12/2003,Romania,1,0
4/12/2003,Singapore,147,9
4/12/2003,South Africa,1,0
4/12/2003,Spain,1,0
4/12/2003,Switzerland,1,0
4/12/2003,Thailand,8,2
4/12/2003,United Kingdom,6,0
4/12/2003,United States,166,0
4/12/2003,Viet Nam ,62,4
4/12/2003,Total,2960,119
4/14/2003,Brazil,2,0
4/14/2003,Canada,100,13
4/14/2003,China,1418,64
4/14/2003,Hong Kong,1190,47
4/14/2003,Taiwan,23,0
4/14/2003,France,5,0
4/14/2003,Germany,6,0
4/14/2003,Indonesia,1,0
4/14/2003,Italy,3,0
4/14/2003,Kuwait,1,0
4/14/2003,Malaysia,4,1
4/14/2003,Philippines,1,0
4/14/2003,Republic of Ireland,1,0
4/14/2003,Romania,1,0
4/14/2003,Singapore,158,12
4/14/2003,South Africa,1,0
4/14/2003,Spain,1,0
4/14/2003,Sweden,1,0
4/14/2003,Switzerland,1,0
4/14/2003,Thailand,8,2
4/14/2003,United Kingdom,6,0
4/14/2003,United States,174,0
4/14/2003,Viet Nam,63,5
4/14/2003,Total,3169,144
4/15/2003,Brazil,2,0
4/15/2003,Canada,100,13
4/15/2003,China,1418,64
4/15/2003,Hong Kong,1232,56
4/15/2003,Taiwan,23,0
4/15/2003,France,5,0
4/15/2003,Germany,6,0
4/15/2003,Indonesia,1,0
4/15/2003,Italy,3,0
4/15/2003,Japan,1,0
4/15/2003,Kuwait,1,0
4/15/2003,Malaysia,4,1
4/15/2003,Philippines,1,0
4/15/2003,Republic of Ireland,1,0
4/15/2003,Romania,1,0
4/15/2003,Singapore,162,13
4/15/2003,South Africa,1,0
4/15/2003,Spain,1,0
4/15/2003,Sweden,1,0
4/15/2003,Switzerland,1,0
4/15/2003,Thailand,8,2
4/15/2003,United Kingdom,6,0
4/15/2003,United States,193,0
4/15/2003,Viet Nam,63,5
4/15/2003,Total,3235,154
4/16/2003,Brazil,2,0
4/16/2003,Canada,103,13
4/16/2003,China,1432,64
4/16/2003,Hong Kong,1268,61
4/16/2003,Taiwan,27,0
4/16/2003,France,5,0
4/16/2003,Germany,6,0
4/16/2003,Indonesia,1,0
4/16/2003,Italy,3,0
4/16/2003,Japan,1,0
4/16/2003,Kuwait,1,0
4/16/2003,Malaysia,5,1
4/16/2003,Philippines,1,0
4/16/2003,Republic of Ireland,1,0
4/16/2003,Romania,1,0
4/16/2003,Singapore,162,13
4/16/2003,South Africa,1,0
4/16/2003,Spain,1,0
4/16/2003,Sweden,1,0
4/16/2003,Switzerland,1,0
4/16/2003,Thailand,8,2
4/16/2003,United Kingdom,6,0
4/16/2003,United States,193,0
4/16/2003,Viet Nam,63,5
4/16/2003,Total,3293,159
4/17/2003,Australia,3,0
4/17/2003,Brazil,2,0
4/17/2003,Canada,126,12
4/17/2003,China,1457,65
4/17/2003,Hong Kong,1297,65
4/17/2003,Taiwan,27,0
4/17/2003,France,5,0
4/17/2003,Germany,6,0
4/17/2003,India,1,0
4/17/2003,Indonesia,1,0
4/17/2003,Italy,3,0
4/17/2003,Japan,2,0
4/17/2003,Kuwait,1,0
4/17/2003,Malaysia,5,1
4/17/2003,Mongolia,3,0
4/17/2003,Philippines,1,0
4/17/2003,Republic of Ireland,1,0
4/17/2003,Romania,1,0
4/17/2003,Singapore,167,15
4/17/2003,South Africa,1,0
4/17/2003,Spain,1,0
4/17/2003,Sweden,1,0
4/17/2003,Switzerland,1,0
4/17/2003,Thailand,8,2
4/17/2003,United Kingdom,6,0
4/17/2003,United States,199,0
4/17/2003,Viet Nam,63,5
4/17/2003,Total,3389,165
4/18/2003,Australia,3,0
4/18/2003,Brazil,2,0
4/18/2003,Canada,132,12
4/18/2003,China,1512,65
4/18/2003,Hong Kong,1358,81
4/18/2003,Taiwan,29,0
4/18/2003,France,5,0
4/18/2003,Germany,6,0
4/18/2003,India,1,0
4/18/2003,Indonesia,1,0
4/18/2003,Italy,3,0
4/18/2003,Japan,4,0
4/18/2003,Kuwait,1,0
4/18/2003,Malaysia,5,1
4/18/2003,Mongolia,3,0
4/18/2003,Philippines,1,0
4/18/2003,Republic of Ireland,1,0
4/18/2003,Romania,1,0
4/18/2003,Singapore,177,16
4/18/2003,South Africa,1,0
4/18/2003,Spain,1,0
4/18/2003,Sweden,3,0
4/18/2003,Switzerland,1,0
4/18/2003,Thailand,7,2
4/18/2003,United Kingdom,6,0
4/18/2003,United States,220,0
4/18/2003,Viet Nam,63,5
4/18/2003,Total,3547,182
4/19/2003,Australia,3,0
4/19/2003,Brazil,2,0
4/19/2003,Canada,132,12
4/19/2003,China,1512,65
4/19/2003,Hong Kong,1358,81
4/19/2003,Taiwan,29,0
4/19/2003,France,5,0
4/19/2003,Germany,6,0
4/19/2003,India,1,0
4/19/2003,Indonesia,1,0
4/19/2003,Italy,3,0
4/19/2003,Japan,4,0
4/19/2003,Kuwait,1,0
4/19/2003,Malaysia,5,1
4/19/2003,Mongolia,3,0
4/19/2003,Philippines,1,0
4/19/2003,Republic of Ireland,1,0
4/19/2003,Romania,1,0
4/19/2003,Singapore,177,16
4/19/2003,South Africa,1,0
4/19/2003,Spain,1,0
4/19/2003,Sweden,3,0
4/19/2003,Switzerland,1,0
4/19/2003,Thailand,7,2
4/19/2003,United Kingdom,6,0
4/19/2003,United States,220,0
4/19/2003,Viet Nam,63,5
4/19/2003,Total,3547,182
4/21/2003,Australia,3,0
4/21/2003,Brazil,2,0
4/21/2003,Canada,132,12
4/21/2003,China,1959,86
4/21/2003,Hong Kong,1402,94
4/21/2003,Taiwan,29,0
4/21/2003,France,5,0
4/21/2003,Germany,6,0
4/21/2003,India,1,0
4/21/2003,Indonesia,1,0
4/21/2003,Italy,3,0
4/21/2003,Japan,5,0
4/21/2003,Kuwait,1,0
4/21/2003,Malaysia,6,1
4/21/2003,Mongolia,3,0
4/21/2003,Philippines,2,1
4/21/2003,Republic of Ireland,1,0
4/21/2003,Romania,1,0
4/21/2003,Singapore,178,16
4/21/2003,South Africa,1,0
4/21/2003,Spain,1,0
4/21/2003,Sweden,3,0
4/21/2003,Switzerland,1,0
4/21/2003,Thailand,7,2
4/21/2003,United Kingdom,6,0
4/21/2003,United States,39,0
4/21/2003,Viet Nam,63,5
4/21/2003,Total,3861,217
4/22/2003,Australia,3,0
4/22/2003,Brazil,2,0
4/22/2003,Canada,139,13
4/22/2003,China,2001,92
4/22/2003,Hong Kong,1434,99
4/22/2003,Taiwan,29,0
4/22/2003,France,5,0
4/22/2003,Germany,7,0
4/22/2003,India,1,0
4/22/2003,Indonesia,1,0
4/22/2003,Italy,3,0
4/22/2003,Japan,2,0
4/22/2003,Kuwait,1,0
4/22/2003,Malaysia,6,1
4/22/2003,Mongolia,3,0
4/22/2003,Philippines,2,1
4/22/2003,Republic of Ireland,1,0
4/22/2003,Romania,1,0
4/22/2003,Singapore,186,16
4/22/2003,South Africa,1,0
4/22/2003,Spain,1,0
4/22/2003,Sweden,3,0
4/22/2003,Switzerland,1,0
4/22/2003,Thailand,7,2
4/22/2003,United Kingdom,6,0
4/22/2003,United States,38,0
4/22/2003,Viet Nam,63,5
4/22/2003,Total,3947,229
4/23/2003,Australia,4,0
4/23/2003,Brazil,2,0
4/23/2003,Canada,140,13
4/23/2003,China,2305,106
4/23/2003,Hong Kong,1458,105
4/23/2003,Taiwan,37,0
4/23/2003,France,5,0
4/23/2003,Germany,7,0
4/23/2003,India,1,0
4/23/2003,Indonesia,1,0
4/23/2003,Italy,3,0
4/23/2003,Japan,2,0
4/23/2003,Kuwait,1,0
4/23/2003,Malaysia,5,2
4/23/2003,Mongolia,3,0
4/23/2003,Philippines,2,1
4/23/2003,Republic of Ireland,1,0
4/23/2003,Romania,1,0
4/23/2003,Singapore,189,17
4/23/2003,South Africa,1,0
4/23/2003,Spain,1,0
4/23/2003,Sweden,3,0
4/23/2003,Switzerland,1,0
4/23/2003,Thailand,7,2
4/23/2003,United Kingdom,6,0
4/23/2003,United States,39,0
4/23/2003,Viet Nam,63,5
4/23/2003,Total,4288,251
4/24/2003,Australia,4,0
4/24/2003,Brazil,2,0
4/24/2003,Bulgaria,1,0
4/24/2003,Canada,140,15
4/24/2003,China,2422,110
4/24/2003,Hong Kong,1488,109
4/24/2003,Taiwan,37,0
4/24/2003,France,5,0
4/24/2003,Germany,7,0
4/24/2003,India,1,0
4/24/2003,Indonesia,1,0
4/24/2003,Italy,4,0
4/24/2003,Japan,2,0
4/24/2003,Kuwait,1,0
4/24/2003,Malaysia,5,2
4/24/2003,Mongolia,3,0
4/24/2003,Philippines,2,1
4/24/2003,Republic of Ireland,1,0
4/24/2003,Romania,1,0
4/24/2003,Singapore,192,19
4/24/2003,South Africa,1,0
4/24/2003,Spain,1,0
4/24/2003,Sweden,3,0
4/24/2003,Switzerland,1,0
4/24/2003,Thailand,8,2
4/24/2003,United Kingdom,6,0
4/24/2003,United States,37,0
4/24/2003,Viet Nam,63,5
4/24/2003,Total,4439,263
4/25/2003,Australia,4,0
4/25/2003,Brazil,2,0
4/25/2003,Bulgaria,1,0
4/25/2003,Canada,140,15
4/25/2003,China,2601,115
4/25/2003,Hong Kong,1510,115
4/25/2003,Taiwan,41,0
4/25/2003,France,5,0
4/25/2003,Germany,7,0
4/25/2003,India,1,0
4/25/2003,Indonesia,1,0
4/25/2003,Italy,4,0
4/25/2003,Japan,2,0
4/25/2003,Kuwait,1,0
4/25/2003,Malaysia,5,2
4/25/2003,Mongolia,3,0
4/25/2003,Philippines,2,1
4/25/2003,Republic of Ireland,1,0
4/25/2003,Romania,1,0
4/25/2003,Singapore,195,19
4/25/2003,South Africa,1,0
4/25/2003,Spain,1,0
4/25/2003,Sweden,3,0
4/25/2003,Switzerland,1,0
4/25/2003,Thailand,8,2
4/25/2003,United Kingdom,6,0
4/25/2003,United States,39,0
4/25/2003,Viet Nam,63,5
4/25/2003,Total,4649,274
4/26/2003,Australia,4,0
4/26/2003,Brazil,2,0
4/26/2003,Bulgaria,1,0
4/26/2003,Canada,142,18
4/26/2003,China,2753,122
4/26/2003,Hong Kong,1527,121
4/26/2003,Taiwan,49,0
4/26/2003,France,5,0
4/26/2003,Germany,7,0
4/26/2003,India,1,0
4/26/2003,Indonesia,1,0
4/26/2003,Italy,4,0
4/26/2003,Japan,2,0
4/26/2003,Kuwait,1,0
4/26/2003,Malaysia,5,2
4/26/2003,Mongolia,5,0
4/26/2003,Philippines,4,2
4/26/2003,Republic of Ireland,1,0
4/26/2003,Romania,1,0
4/26/2003,Singapore,198,21
4/26/2003,South Africa,1,0
4/26/2003,Spain,1,0
4/26/2003,Sweden,3,0
4/26/2003,Switzerland,1,0
4/26/2003,Thailand,7,2
4/26/2003,United Kingdom,6,0
4/26/2003,United States,41,0
4/26/2003,Viet Nam,63,5
4/26/2003,Total,4836,293
4/28/2003,Australia,4,0
4/28/2003,Brazil,2,0
4/28/2003,Bulgaria,1,0
4/28/2003,Canada,142,18
4/28/2003,China,2914,131
4/28/2003,Hong Kong,1557,138
4/28/2003,Taiwan,66,0
4/28/2003,France,5,0
4/28/2003,Germany,7,0
4/28/2003,India,1,0
4/28/2003,Indonesia,1,0
4/28/2003,Italy,8,0
4/28/2003,Japan,2,0
4/28/2003,Kuwait,1,0
4/28/2003,Malaysia,6,2
4/28/2003,Mongolia,5,0
4/28/2003,Philippines,4,2
4/28/2003,Republic of Ireland,1,0
4/28/2003,Romania,1,0
4/28/2003,Singapore,199,23
4/28/2003,South Africa,1,0
4/28/2003,Spain,1,0
4/28/2003,Sweden,3,0
4/28/2003,Switzerland,1,0
4/28/2003,Thailand,7,2
4/28/2003,United Kingdom,6,0
4/28/2003,United States,41,0
4/28/2003,Viet Nam,63,5
4/28/2003,Total,5050,321
4/29/2003,Australia,4,0
4/29/2003,Brazil,2,0
4/29/2003,Bulgaria,1,0
4/29/2003,Canada,146,20
4/29/2003,China,3303,148
4/29/2003,Hong Kong,1572,150
4/29/2003,Taiwan,66,0
4/29/2003,France,5,0
4/29/2003,Germany,7,0
4/29/2003,India,1,0
4/29/2003,Indonesia,1,0
4/29/2003,Italy,9,0
4/29/2003,Japan,2,0
4/29/2003,Kuwait,1,0
4/29/2003,Malaysia,6,2
4/29/2003,Mongolia,5,0
4/29/2003,Philippines,4,2
4/29/2003,Republic of Ireland,1,0
4/29/2003,Republic of Korea,1,0
4/29/2003,Romania,1,0
4/29/2003,Singapore,201,24
4/29/2003,South Africa,1,0
4/29/2003,Spain,1,0
4/29/2003,Sweden,3,0
4/29/2003,Switzerland,1,0
4/29/2003,Thailand,7,2
4/29/2003,United Kingdom,6,0
4/29/2003,United States,41,0
4/29/2003,Viet Nam,63,5
4/29/2003,Total,5462,353
4/30/2003,Australia,4,0
4/30/2003,Brazil,2,0
4/30/2003,Bulgaria,1,0
4/30/2003,Canada,148,20
4/30/2003,China,3460,159
4/30/2003,Hong Kong,1589,157
4/30/2003,China,1,0
4/30/2003,Taiwan,78,1
4/30/2003,France,5,0
4/30/2003,Germany,7,0
4/30/2003,Indonesia,2,0
4/30/2003,Italy,9,0
4/30/2003,Japan,2,0
4/30/2003,Kuwait,1,0
4/30/2003,Malaysia,6,2
4/30/2003,Mongolia,6,0
4/30/2003,Philippines,4,2
4/30/2003,Republic of Ireland,1,0
4/30/2003,Republic of Korea,1,0
4/30/2003,Romania,1,0
4/30/2003,Singapore,201,24
4/30/2003,South Africa,1,0
4/30/2003,Spain,1,0
4/30/2003,Sweden,3,0
4/30/2003,Switzerland,1,0
4/30/2003,Thailand,7,2
4/30/2003,United Kingdom,6,0
4/30/2003,United States,52,0
4/30/2003,Viet Nam,63,5
4/30/2003,Total,5663,372
5/1/2003,Australia,4,0
5/1/2003,Brazil,2,0
5/1/2003,Bulgaria,1,0
5/1/2003,Canada,147,20
5/1/2003,China,3638,170
5/1/2003,Hong Kong,1600,162
5/1/2003,China,1,0
5/1/2003,Taiwan,89,3
5/1/2003,France,5,0
5/1/2003,Germany,7,0
5/1/2003,Indonesia,2,0
5/1/2003,Italy,9,0
5/1/2003,Japan,2,0
5/1/2003,Kuwait,1,0
5/1/2003,Malaysia,6,2
5/1/2003,Mongolia,6,0
5/1/2003,Philippines,4,2
5/1/2003,Poland,1,0
5/1/2003,Republic of Ireland,1,0
5/1/2003,Republic of Korea,1,0
5/1/2003,Romania,1,0
