Date,Price,Daily Change %
2014-08-29,2217.2,0.97
2014-09-01,2235.51,0.83
2014-09-02,2266.05,1.37
2014-09-03,2288.63,1.0
2014-09-04,2306.86,0.8
2014-09-05,2326.43,0.85
2014-09-09,2326.53,0.0
2014-09-10,2318.31,-0.35
2014-09-11,2311.68,-0.29
2014-09-12,2331.95,0.88
2014-09-15,2339.14,0.31
2014-09-16,2296.56,-1.82
2014-09-17,2307.89,0.49
2014-09-18,2315.93,0.35
2014-09-19,2329.45,0.58
2014-09-22,2289.87,-1.7
2014-09-23,2309.72,0.87
2014-09-24,2343.57,1.47
2014-09-25,2345.1,0.07
2014-09-26,2347.72,0.11
2014-09-29,2357.71,0.43
2014-09-30,2363.87,0.26
2014-10-08,2382.79,0.8
2014-10-09,2389.37,0.28
2014-10-10,2374.54,-0.62
2014-10-13,2366.01,-0.36
2014-10-14,2359.47,-0.28
2014-10-15,2373.67,0.6
2014-10-16,2356.5,-0.72
2014-10-17,2341.18,-0.65
2014-10-20,2356.73,0.66
2014-10-21,2339.66,-0.72
2014-10-22,2326.55,-0.56
2014-10-23,2302.42,-1.04
2014-10-24,2302.28,-0.01
2014-10-27,2290.44,-0.51
2014-10-28,2337.87,2.07
2014-10-29,2373.03,1.5
2014-10-30,2391.08,0.76
2014-10-31,2420.18,1.22
2014-11-03,2430.03,0.41
2014-11-04,2430.68,0.03
2014-11-05,2419.25,-0.47
2014-11-06,2425.86,0.27
2014-11-07,2418.17,-0.32
2014-11-10,2473.67,2.3
2014-11-11,2469.67,-0.16
2014-11-12,2494.48,1.0
2014-11-13,2485.61,-0.36
2014-11-14,2478.82,-0.27
2014-11-17,2474.01,-0.19
2014-11-18,2456.37,-0.71
2014-11-19,2450.99,-0.22
2014-11-20,2452.66,0.07
2014-11-21,2486.79,1.39
2014-11-24,2532.88,1.85
2014-11-25,2567.6,1.37
2014-11-26,2604.35,1.43
2014-11-27,2630.49,1.0
2014-11-28,2682.83,1.99
2014-12-01,2680.16,-0.1
